['/p/BwMW7Y1jDqy/'],"6,467",122,25.5k,[]
['/p/BwMJPigjGaf/'],"12,472",441,54.5k,"['#Bengaluru', '#ChowkidarChorHai']"
['/p/BwL87kOJHFf/'],10.6k,56,-1,['#JallianwalaBagh']
['/p/BwKUxFGlmZV/'],"12,331",363,59k,"['#TamilNadu', '#mbdb']"
['/p/BwJRb57lsRG/'],17.3k,622,-1,"['#FridayFeeling', '#NoMo', '#AchheDin']"
['/p/BwJNSCfFumh/'],"7,431",59,29.7k,[]
['/p/BwGZA0dlzvT/'],14.7k,582,-1,"['#Congress', '#Vote', '#MyVoteForCongress', '#AbHogaNYAY', '#namoagain']"
['/p/BwGY--Jl8ay/'],"6,189",54,-1,"['#Congress', '#Vote', '#MyVoteForCongress', '#AbHogaNYAY', '#congress', '#inc', '#rahulgandhi', '#CONgress']"
['/p/BwGY8muFgVe/'],"6,258",65,-1,"['#Congress', '#Vote', '#MyVoteForCongress', '#AbHogaNYAY']"
['/p/BwEtC7vlbup/'],13k,209,-1,[]
['/p/BwEtBqsFRhH/'],"7,745",35,-1,['#congresswilldeliver']
['/p/BwEtAk5lfMB/'],19.6k,297,-1,[]
['/p/BwEs-o2FeB5/'],"8,675",28,-1,[]
['/p/BwEs8b-FVZe/'],"8,690",14,-1,[]
['/p/BwEs6BwlMLl/'],"9,246",31,-1,[]
['/p/BwEg1QvFy0X/'],"25,102","1,196",272k,"['#ChowkidarChorHai', '#AbHogaNyay', '#RafaleDeal']"
['/p/BwEfFmulf1Q/'],31.6k,237,-1,"['#Amethi', '#AmethiKaRahulGandhi', '#LokSabhaElections2019', '#chowkidarnarendramodi', '#namoagain']"
['/p/BwEedSwF4MW/'],22.2k,251,-1,"['#Amethi', '#LokSabhaElections2019', '#AmethiKaRahulGandhi', '#namoagain', '#namoagain2019', '#abkibaarphirmodisarkar', '#modihtomumkinh']"
['/p/BwCOVH9lE3Q/'],"13,476",722,60k,"['#namoagain', '#congressmuktbharat', '#modihtomumkinh']"
['/p/BwBPQ8qle5k/'],"12,067",462,76k,['#BollywoodBoleVoteSambhalKe']
['/p/Bv_-hfPF7KC/'],"8,973",372,45.4k,"['#4', '#PunKiBaat', '#nationwantsnamo', '#namoagain2019', '#namoagain✔️', '#modihtohmumkinh', '#congressmuktbharat']"
['/p/Bv_KYfYlYXZ/'],"11,909",318,50k,['#VoteAppeal']
