['/p/BwPclxjHEQn/'],1714,3,3242,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span class=""Linkify"">आइए देखते हैं, 'बंशीलाल जी का परिवार' भाग-1 में।<br/><br/>फटे मोजे से झांकते अंगूठों को कैसे छुपाते हैं बंशीलाल।<br/>आइए देखते हैं, 'बंशीलाल जी का परिवार' भाग-1 में।</span></div>"
['/p/BwPSpbEnEi1/'],15858,158,40.3k,"['#BJP', '#governance', '#JAI___HO']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span class=""Linkify"">पूरा देश कह रहा है .... मैं भी चौकीदार हूँ।<br/><br/>वो एक अकेला चल पड़ा...मैं उसकी ही कतार हूं। पूरा देश कह रहा है .... मैं भी चौकीदार हूँ।</span></div>"
['/p/BwO0M8GnwDE/'],17140,394,49.3k,"['#BJP', '#governance', '#फिर_एक_बार_मोदी_सरकार', '#PhirEkBaarModiSarkar', '#IsBaarPhirModi', '#NamoForNewIndia', '#Vote4BJP', '#NamoAgain']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>Look at the fervour at PM Modi’s rally in Aligarh. It is no longer a wave, it is a tsunami!</span></div>"
['/p/BwOqcR3HRtL/'],10120,66,26.7k,"['#BJP', '#governance', '#MyFirstVoteForModi']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>Sahi Raah Pe Chalte Rehna Hai India ko Isiliye Pahla Vote Modi Ko!<br/><br/>Join <a href=""/explore/tags/myfirstvoteformodi/"">#MyFirstVoteForModi</a> movement.</span></div>"
['/p/BwOVx5uHMaR/'],16.4k,249,-1,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>भारत रत्न बाबा साहेब डॉ. भीमराव आम्बेडकर जी की जयंती पर कोटि-कोटि नमन।</span></div>"
['/p/BwOUkIIHKdl/'],12916,59,42.1k,"['#BJP', '#governance', '#MyFirstVoteForModi', '#फिर_एक_बार_मोदी_सरकार', '#IsBaarPhirModi', '#NamoForNewIndia', '#ModiAgainSaysIndia', '#MyFirstVoteForModi', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹', '#__Vote__for__Bjp🌹🌹']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>‘Attitude’ Dikhate Rehna Hai India Ko Isiliye Pahla Vote Modi Ko!<br/><br/>Join <a href=""/explore/tags/myfirstvoteformodi/"">#MyFirstVoteForModi</a> movement.</span></div>"
['/p/BwM34r_HKSr/'],10566,25,37k,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>Coming soon... A heart-warming story of a typical middle class family of Bansilal Ji.<br/><br/>Feel their moments of<br/><br/>pride and prejudice,<br/>highs and lows... and how their lives transformed between 2014 and 2019.<br/><br/>Watch daily at 9 pm from 14 April on all SM channels of BJP.</span></div>"
['/p/BwM3ac7HTjm/'],50.4k,177,-1,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>Unparalleled enthusiasm for PM Modi in Mangaluru.</span></div>"
['/p/BwMavqkH68Z/'],41647,507,276k,"['#BJP', '#governance', '#namoagain', '#नवरात्रि_मे_विशेष_सिद्धि_यग_पूजा_का_लाभ_उठाये', '#ज्योतिष_विध्या_मेरा_कारोबार_नहीं_मेरी_साधना_है', '#all_problems_solution_with_in_21_hours', '#नवरात्रि_मे_विशेष_सिद्धि_यग_पूजा_का_लाभ_उठाये', '#ज्योतिष_विध्या_मेरा_कारोबार_नहीं_मेरी_साधना_है', '#all_problems_solution_with_in_21_hours']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span class=""Linkify"">A dead end is inevitable for Maha Milavati friends!</span></div>"
['/p/BwMVXvxnChs/'],19000,307,62.5k,"['#BJP', '#governance', '#vandemataram']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>While we are focusing on our development agenda, the Opposition is trying to take India backward with a destructive mindset.<br/><br/>Congress, DMK and their Maha Milawat alliance has no vision or mission for the nation. Their only glue is hatred for Modi: PM Narendra Modi</span></div>"
['/p/BwMUKhRn137/'],44418,424,183k,"['#BJP', '#governance', '#rgforpm']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span class=""Linkify"">बिहार से उठल आवाज, हमहुं बानी चौकीदार।</span></div>"
['/p/BwMNurXHvfx/'],45303,480,190k,"['#BJP', '#governance']","<div class=""C4VMK""><h2 class=""_6lAjh""><a class=""FPmhX notranslate TlrDj"" href=""/bjp4india/"" title=""bjp4india"">bjp4india</a></h2><span>रामनवमी के पावन पर्व पर गोरखनाथ मंदिर में गोरक्षपीठाधीश्वर महंत श्री योगी आदित्यनाथ जी महाराज द्वारा कन्या पूजन।</span></div>"
